Symbol;Name;Sector
TATB.F;Tata Motors Limited;Auto Manufacturers - Major
PHIA.F;Koninklijke Philips N.V.;Electronic Equipment
ADOC.PA;Adocia SA;Biotechnology
ERCA.F;Telefonaktiebolaget LM Ericsson (publ);Communication Equipment
EOAA.F;E.ON SE;Diversified Utilities
CSX1.F;Credit Suisse Group AG;Money Center Banks
NOTA.F;Novartis AG;Drug Manufacturers - Major
ADN1.F;adesso AG;Information Technology Services
BASA.F;BASF SE;Chemicals - Major Diversified
ADV.F;ADVA Optical Networking SE;Communication Equipment
HNRB.F;Hannover Rück SE;Property & Casualty Insurance
SIEB.F;Siemens Aktiengesellschaft;Diversified Machinery
NESM.F;Nestlé S.A.;Food - Major Diversified
VOW5.F;Volkswagen Aktiengesellschaft;Auto Manufacturers - Major
TEV.F;Teva Pharmaceutical Industries Limited;Drugs - Generic
ADL.F;ADLER Real Estate Aktiengesellschaft;Property Management
NOAA.F;NOKIA OYJ A ADR 1/EO-,06;Communication Equipment
RWEA.F;RWE Aktiengesellschaft;Diversified Utilities
APM.F;ad pepper media International N.V.;Advertising Agencies
EVTA.F;Evotec AG;Drugs - Generic
SBNC.F;Sberbank of Russia;Money Center Banks
BSU.F;BP PLC ADR/6 DL -,25;Major Integrated Oil & Gas
SAPA.F;SAP SE;Technical & System Software
AMD.DE;Advanced Micro Devices, Inc.;Semiconductor - Broad Line
TOMA.F;Toyota Motor Corporation;Auto Manufacturers - Major
R6C1.F;Royal Dutch Shell plc;Major Integrated Oil & Gas
LHL1.F;Lenovo Group Limited;Computer Based Systems
63DA.F;Deutsche Börse Aktiengesellschaft;Asset Management
BSDK.F;Banco Santander, S.A.;Money Center Banks
CTMA.F;China Mobile Limited;Wireless Communications
IFXA.F;Infineon Technologies AG;Semiconductor - Broad Line
RHO6.F;Roche Holding AG;Biotechnology
RIOA.F;Rio Tinto plc;Industrial Metals & Minerals
AE9.F;Agnico Eagle Mines Limited;Gold
AEC1.F;American Express Company;Credit Services
AEI.F;Allgeier SE;Information Technology Services
MLNOT.PA;Novae Aerospace;Aerospace/Defense - Major Diversified
BOAF.PA;Brasseries De L'ouest Africain;Beverages - Brewers
AFO.PA;Afone S.A.;Wireless Communications
FOAF.PA;Fin.Ouest Africain;Conglomerates
CRLO.PA;Caisse Regionale de Credit Agricole Mutuel de la Loire-Haute-Loire SA;Money Center Banks
CRBP2.PA;Crédit Agricole Brie Picardie;Money Center Banks
CNF.PA;Crédit Agricole Nord de France;Money Center Banks
CAT31.PA;Caisse Regionale de Credit Agricole Mutuel Toulouse 31;Money Center Banks
ALAGR.PA;AgroGeneration SA;Farm Products
H9W.F;HWA AG;Auto Parts
ALG.F;Albis Leasing AG;Wireless Communications
CMO.PA;Caisse Régionale de Crédit Agricole du Morbihan;Money Center Banks
CRSU.PA;Caisse Régionale de Crédit Agricole Mutuel Sud Rhône Alpes;Money Center Banks
CRLA.PA;Crédit Agricole du Languedoc;Money Center Banks
MLAAH.PA;Amatheon Agri Holding N.V.;Farm Products
AGE.F;Agfa-Gevaert N.V.;Diversified Machinery
GTK.F;Tonkens Agrar AG;Farm Products
MU4.F;m4e AG;Entertainment - Diversified
AIL.F;Air Liquide, société anonyme;Chemicals - Major Diversified
AIL.DE;Air Liquide, société anonyme;Chemicals - Major Diversified
ALFBA.PA;Fashion Bel Air S.A.;Textile - Apparel Clothing
AIXA.F;Aixtron SE;Semiconductor Equipment & Materials
AJ91.F;DocCheck AG;Business Services
AKE.PA;Arkema S.A.;Chemicals - Major Diversified
LTA.PA;Altamir SCA;Asset Management
CRAP.PA;Caisse Régionale de Crédit Agricole Mutuel Alpes Provence;Money Center Banks
ATE.PA;Alten SA;Information Technology Services
AOMD.DE;Alstom SA;Diversified Machinery
ALV.F;Allianz SE;Property & Casualty Insurance
ALUCI.PA;Lucibel SA;Diversified Electronics
ALTHE.PA;Theraclion, S.A.S.;Medical Appliances & Equipment
ALTEV.PA;Environnement S.A.;Scientific & Technical Instruments
